layer,lag,reuse_prob,jaccard,domain,chance_reuse
18,2,0.47397786946736686,0.3408620747705519,general,0.223419890625
19,2,0.5613122030507627,0.41667288839081784,general,0.33199116406249995
20,2,0.43667166791697926,0.3026432987423235,general,0.21528480468750003
21,2,0.39736496624156037,0.2696547152661181,general,0.18637201171875
22,2,0.34385158789697423,0.22903673803898864,general,0.15572013671874996
23,2,0.30585771442860715,0.19910762183830452,general,0.15713321875000005
24,2,0.40219429857464367,0.27277406264653076,general,0.22863424999999998
25,2,0.2665978994748687,0.17095299188322444,general,0.13592764453125
26,2,0.37190547636909227,0.2476566361037479,general,0.19191378125000003
27,2,0.4005845211302826,0.271974925688354,general,0.20546316015625
28,2,0.3431951737934484,0.22515933401154709,general,0.16364378906250002
29,2,0.3985683920980245,0.26780143254261785,general,0.2529485195312501
30,2,0.5144254813703426,0.3783596609553098,general,0.22830908203125
31,2,0.6065110027506877,0.4644855464060264,general,0.3452886210937501
32,2,0.47169604901225304,0.3329285673621758,general,0.218057046875
33,2,0.43879719929982497,0.303485703260647,general,0.19041267578124998
34,2,0.353900975243811,0.2369318797675887,general,0.15461190234375
35,2,0.32873843460865215,0.215024257784948,general,0.16876623828124998
36,2,0.39448924731182794,0.2665683154055247,general,0.21107689453125
37,2,0.2613622155538885,0.1676504263150925,general,0.13151435937500003
38,2,0.3948487121780445,0.26359254371257373,general,0.2272106640625
39,2,0.37065516379094776,0.2478809401540084,general,0.1765821796875
40,2,0.32895723930982745,0.21716536637766948,general,0.156462765625
41,2,0.31446924231057766,0.20553691258867554,general,0.16650657421875
42,2,0.3046855463865967,0.19880544006575515,general,0.16887321093750002
43,2,0.3761565391347837,0.2542759343959644,general,0.192046484375
44,2,0.41926106526631657,0.285190039878712,general,0.22935568750000002
45,2,0.4223087021755439,0.2916753747211362,general,0.22612302734374998
46,2,0.3367248062015504,0.2244019574102095,general,0.20504692968749996
47,2,0.18860965241310326,0.12676308715318468,general,0.133336359375
0,4,0.12018509254627313,0.07668899384757315,general,0.09756336718750001
1,4,0.1482928964482241,0.09113238770567435,general,0.10360971875
2,4,0.1799337168584292,0.11452586655187955,general,0.11956601171875
3,4,0.24066720860430216,0.14979119596428248,general,0.1588922734375
4,4,0.2358679339669835,0.1506291107591758,general,0.141451921875
5,4,0.24684217108554277,0.1577896313013872,general,0.141179375
6,4,0.37471860930465234,0.25684643298450205,general,0.200434375
7,4,0.4616214357178589,0.32361667569271374,general,0.26985007812499995
8,4,0.34795522761380693,0.22988013598318752,general,0.20002941015625003
9,4,0.345969859929965,0.22771795210514573,general,0.1845922890625
10,4,0.2833135317658829,0.18399270675408747,general,0.14754371484375
11,4,0.2851113056528264,0.18167151341238386,general,0.16622470703125003
12,4,0.35752251125562784,0.2345515748217099,general,0.22643058984375003
13,4,0.22730115057528763,0.14388320256254222,general,0.1351325859375
14,4,0.3377626313156578,0.21908140772572987,general,0.19840512890624998
15,4,0.37754814907453726,0.24969154573956975,general,0.21771149999999997
16,4,0.3034954977488744,0.1935899490426754,general,0.1555722734375
17,4,0.37822036018009003,0.25026505926956155,general,0.25911934765625
18,4,0.4535392696348174,0.32062927900846866,general,0.223419890625
19,4,0.541974112056028,0.396356589328075,general,0.33199116406249995
20,4,0.4050775387693847,0.27527364525863773,general,0.21528480468750003
21,4,0.3666364432216108,0.24431534226431678,general,0.18637201171875
22,4,0.30548086543271635,0.19863233870237376,general,0.15572013671874996
23,4,0.2736211855927964,0.17494596726712786,general,0.15713321875000005
24,4,0.368262256128064,0.24380329247762966,general,0.22863424999999998
25,4,0.23768134067033517,0.15107684267264057,general,0.13592764453125
26,4,0.3417177338669335,0.2231252128450728,general,0.19191378125000003
27,4,0.3672930215107554,0.24347411801138666,general,0.20546316015625
28,4,0.3280233866933467,0.21346166756371862,general,0.16364378906250002
29,4,0.38094047023511757,0.25347282365791624,general,0.2529485195312501
30,4,0.4859617308654327,0.34977273851711066,general,0.22830908203125
31,4,0.5765695347673837,0.4315649222102448,general,0.3452886210937501
32,4,0.4281515757878939,0.29448867512899524,general,0.218057046875
33,4,0.3932903951975988,0.2656568266373169,general,0.19041267578124998
34,4,0.31070222611305653,0.20270854708073316,general,0.15461190234375
35,4,0.2877532516258129,0.18420929023730426,general,0.16876623828124998
36,4,0.35505252626313155,0.23377179487734767,general,0.21107689453125
37,4,0.2343984492246123,0.14979224544006936,general,0.13151435937500003
38,4,0.36224362181090547,0.23772518682473662,general,0.2272106640625
39,4,0.3315251375687844,0.2170398136131003,general,0.1765821796875
40,4,0.31189032016008006,0.2037261832159281,general,0.156462765625
41,4,0.29127063531765884,0.18994895938367673,general,0.16650657421875
42,4,0.2934123311655828,0.19025242169314208,general,0.16887321093750002
43,4,0.35733491745872936,0.23965469803388764,general,0.192046484375
44,4,0.3929152076038019,0.2643078643328769,general,0.22935568750000002
45,4,0.4051869684842421,0.27855165789132774,general,0.22612302734374998
46,4,0.3212700100050025,0.21359182754880604,general,0.20504692968749996
