layer,coverage,experts_needed,frac_of_experts,domain
38,0.95,71,0.5546875,general
38,0.99,91,0.7109375,general
39,0.9,60,0.46875,general
39,0.95,73,0.5703125,general
39,0.99,95,0.7421875,general
40,0.9,59,0.4609375,general
40,0.95,71,0.5546875,general
40,0.99,91,0.7109375,general
41,0.9,59,0.4609375,general
41,0.95,70,0.546875,general
41,0.99,88,0.6875,general
42,0.9,57,0.4453125,general
42,0.95,67,0.5234375,general
42,0.99,82,0.640625,general
43,0.9,55,0.4296875,general
43,0.95,67,0.5234375,general
43,0.99,86,0.671875,general
44,0.9,55,0.4296875,general
44,0.95,66,0.515625,general
44,0.99,87,0.6796875,general
45,0.9,52,0.40625,general
45,0.95,64,0.5,general
45,0.99,83,0.6484375,general
46,0.9,53,0.4140625,general
46,0.95,65,0.5078125,general
46,0.99,83,0.6484375,general
47,0.9,63,0.4921875,general
47,0.95,73,0.5703125,general
47,0.99,89,0.6953125,general
0,0.9,83,0.6484375,math
0,0.95,97,0.7578125,math
0,0.99,112,0.875,math
1,0.9,79,0.6171875,math
1,0.95,92,0.71875,math
1,0.99,110,0.859375,math
2,0.9,63,0.4921875,math
2,0.95,76,0.59375,math
2,0.99,97,0.7578125,math
3,0.9,67,0.5234375,math
3,0.95,82,0.640625,math
3,0.99,103,0.8046875,math
4,0.9,56,0.4375,math
4,0.95,69,0.5390625,math
4,0.99,93,0.7265625,math
5,0.9,56,0.4375,math
5,0.95,70,0.546875,math
5,0.99,92,0.71875,math
6,0.9,48,0.375,math
6,0.95,61,0.4765625,math
6,0.99,85,0.6640625,math
7,0.9,47,0.3671875,math
7,0.95,60,0.46875,math
7,0.99,80,0.625,math
8,0.9,63,0.4921875,math
8,0.95,75,0.5859375,math
8,0.99,95,0.7421875,math
9,0.9,53,0.4140625,math
9,0.95,66,0.515625,math
9,0.99,90,0.703125,math
10,0.9,68,0.53125,math
10,0.95,81,0.6328125,math
10,0.99,103,0.8046875,math
11,0.9,67,0.5234375,math
11,0.95,80,0.625,math
11,0.99,103,0.8046875,math
12,0.9,62,0.484375,math
12,0.95,75,0.5859375,math
12,0.99,101,0.7890625,math
13,0.9,64,0.5,math
13,0.95,76,0.59375,math
13,0.99,95,0.7421875,math
14,0.9,60,0.46875,math
14,0.95,73,0.5703125,math
14,0.99,92,0.71875,math
15,0.9,59,0.4609375,math
15,0.95,73,0.5703125,math
15,0.99,94,0.734375,math
16,0.9,56,0.4375,math
16,0.95,70,0.546875,math
16,0.99,92,0.71875,math
17,0.9,59,0.4609375,math
17,0.95,71,0.5546875,math
17,0.99,93,0.7265625,math
18,0.9,47,0.3671875,math
18,0.95,60,0.46875,math
18,0.99,85,0.6640625,math
19,0.9,48,0.375,math
19,0.95,62,0.484375,math
19,0.99,81,0.6328125,math
20,0.9,57,0.4453125,math
20,0.95,69,0.5390625,math
20,0.99,90,0.703125,math
21,0.9,58,0.453125,math
21,0.95,70,0.546875,math
21,0.99,89,0.6953125,math
22,0.9,65,0.5078125,math
22,0.95,78,0.609375,math
22,0.99,99,0.7734375,math
23,0.9,66,0.515625,math
23,0.95,80,0.625,math
23,0.99,100,0.78125,math
24,0.9,61,0.4765625,math
24,0.95,73,0.5703125,math
24,0.99,96,0.75,math
25,0.9,66,0.515625,math
25,0.95,77,0.6015625,math
25,0.99,92,0.71875,math
26,0.9,62,0.484375,math
26,0.95,75,0.5859375,math
26,0.99,92,0.71875,math
27,0.9,59,0.4609375,math
27,0.95,72,0.5625,math
27,0.99,91,0.7109375,math
28,0.9,59,0.4609375,math
28,0.95,70,0.546875,math
28,0.99,89,0.6953125,math
29,0.9,60,0.46875,math
29,0.95,71,0.5546875,math
29,0.99,88,0.6875,math
30,0.9,49,0.3828125,math
30,0.95,62,0.484375,math
30,0.99,85,0.6640625,math
31,0.9,50,0.390625,math
31,0.95,64,0.5,math
31,0.99,85,0.6640625,math
32,0.9,57,0.4453125,math
32,0.95,70,0.546875,math
32,0.99,90,0.703125,math
33,0.9,59,0.4609375,math
33,0.95,71,0.5546875,math
33,0.99,90,0.703125,math
34,0.9,65,0.5078125,math
34,0.95,80,0.625,math
34,0.99,101,0.7890625,math
35,0.9,67,0.5234375,math
35,0.95,81,0.6328125,math
35,0.99,103,0.8046875,math
36,0.9,63,0.4921875,math
36,0.95,76,0.59375,math
36,0.99,98,0.765625,math
37,0.9,66,0.515625,math
37,0.95,76,0.59375,math
37,0.99,92,0.71875,math
38,0.9,58,0.453125,math
38,0.95,72,0.5625,math
38,0.99,94,0.734375,math
39,0.9,58,0.453125,math
39,0.95,71,0.5546875,math
39,0.99,89,0.6953125,math
40,0.9,55,0.4296875,math
40,0.95,68,0.53125,math
40,0.99,89,0.6953125,math
41,0.9,59,0.4609375,math
41,0.95,70,0.546875,math
41,0.99,89,0.6953125,math
42,0.9,57,0.4453125,math
42,0.95,69,0.5390625,math
42,0.99,84,0.65625,math
43,0.9,56,0.4375,math
43,0.95,67,0.5234375,math
43,0.99,83,0.6484375,math
44,0.9,51,0.3984375,math
44,0.95,64,0.5,math
44,0.99,85,0.6640625,math
45,0.9,54,0.421875,math
45,0.95,65,0.5078125,math
45,0.99,83,0.6484375,math
46,0.9,57,0.4453125,math
46,0.95,69,0.5390625,math
46,0.99,89,0.6953125,math
47,0.9,61,0.4765625,math
47,0.95,72,0.5625,math
47,0.99,88,0.6875,math
0,0.9,77,0.6015625,medical
0,0.95,87,0.6796875,medical
0,0.99,103,0.8046875,medical
1,0.9,71,0.5546875,medical
1,0.95,85,0.6640625,medical
1,0.99,105,0.8203125,medical
2,0.9,59,0.4609375,medical
2,0.95,70,0.546875,medical
2,0.99,86,0.671875,medical
3,0.9,60,0.46875,medical
3,0.95,74,0.578125,medical
3,0.99,98,0.765625,medical
4,0.9,51,0.3984375,medical
4,0.95,62,0.484375,medical
4,0.99,85,0.6640625,medical
5,0.9,53,0.4140625,medical
5,0.95,64,0.5,medical
5,0.99,89,0.6953125,medical
6,0.9,41,0.3203125,medical
6,0.95,53,0.4140625,medical
6,0.99,76,0.59375,medical
7,0.9,47,0.3671875,medical
7,0.95,56,0.4375,medical
7,0.99,74,0.578125,medical
8,0.9,56,0.4375,medical
8,0.95,68,0.53125,medical
8,0.99,87,0.6796875,medical
9,0.9,49,0.3828125,medical
9,0.95,61,0.4765625,medical
9,0.99,86,0.671875,medical
10,0.9,54,0.421875,medical
10,0.95,66,0.515625,medical
10,0.99,90,0.703125,medical
11,0.9,57,0.4453125,medical
11,0.95,69,0.5390625,medical
11,0.99,90,0.703125,medical
12,0.9,56,0.4375,medical
12,0.95,67,0.5234375,medical
12,0.99,91,0.7109375,medical
13,0.9,57,0.4453125,medical
13,0.95,66,0.515625,medical
13,0.99,82,0.640625,medical
14,0.9,48,0.375,medical
14,0.95,58,0.453125,medical
14,0.99,83,0.6484375,medical
15,0.9,51,0.3984375,medical
15,0.95,62,0.484375,medical
15,0.99,84,0.65625,medical
16,0.9,46,0.359375,medical
16,0.95,57,0.4453125,medical
16,0.99,79,0.6171875,medical
17,0.9,53,0.4140625,medical
17,0.95,63,0.4921875,medical
17,0.99,80,0.625,medical
18,0.9,40,0.3125,medical
18,0.95,52,0.40625,medical
18,0.99,73,0.5703125,medical
19,0.9,45,0.3515625,medical
19,0.95,53,0.4140625,medical
19,0.99,72,0.5625,medical
